dshot,rpm,force (N)
20,4,0.01422493060429891
22,59,0.017558263863126436
24,113,0.02289159707725048
27,166,0.03289159759879112
29,181,0.03955826486150424
32,199,0.04755826344092687
35,222,0.05822493135929108
39,263,0.07755826463301976
43,292,0.09955826749404272
47,313,0.13155826628208162
52,348,0.15889160335063934
57,377,0.18889160454273224
63,427,0.22889159619808197
69,465,0.2808915913105011
76,488,0.3275582691033681
84,556,0.49022493362426756
92,570,0.5075582504272461
101,642,0.6048916101455688
111,686,1.129558253288269
122,729,1.3515582799911499
135,827,1.7362249374389649
148,911,2.2908915519714355
163,955,2.7482249259948732
179,1053,3.2808915615081786
197,1138,3.754891586303711
217,1242,4.595558293660482
238,1347,5.194891579945883
262,1477,6.1275582631429035
288,1582,7.131558227539062
317,1700,8.587558237711589
349,1818,10.12955830891927
384,1961,11.686224873860677
422,2108,13.196224975585938
465,2253,15.741558202107747
511,2404,17.5355583190918
562,2578,20.69889144897461
618,2748,22.992225138346353
680,2908,26.440225219726564
725,3043,27.840224965413412
-20,0,-0.006004882745401119
-22,-45,-0.010004882700741291
-24,-81,-0.016004883125424384
-27,-163,-0.020004883408546448
-29,-177,-0.026004883274435998
-32,-198,-0.03000488318502903
-35,-225,-0.0386715496579806
-39,-253,-0.05200488418340683
-43,-290,-0.07000488042831421
-47,-318,-0.09000488370656967
-52,-344,-0.1020048812031746
-57,-384,-0.1340048849582672
-63,-434,-0.15933821698029835
-69,-476,-0.1953382134437561
-76,-500,-0.21600488424301148
-84,-555,-0.2906715452671051
-92,-606,-0.28200488686561587
-101,-642,-0.34667155146598816
-111,-725,-0.43867155313491824
-122,-753,-0.5626715540885925
-135,-853,-0.7126715381940206
-148,-917,-0.8913382053375244
-163,-997,-1.1613381862640382
-179,-1091,-1.4626715898513794
-197,-1173,-1.7406715631484986
-217,-1279,-2.184671497344971
-238,-1402,-2.8226716041564943
-262,-1495,-3.716004816691081
-288,-1618,-4.090004793802897
-317,-1763,-5.393338267008463
-349,-1890,-6.1306715647379555
-384,-2018,-7.905338287353516
-422,-2141,-9.404671541849773
-465,-2334,-11.13533821105957
-511,-2482,-13.257338205973307
-562,-2620,-15.855338223775227
-618,-2767,-17.952671432495116
-680,-2949,-20.561338170369467
-725,-3064,-22.063338216145834
