dshot,rpm,force (N)
20,0,0.0301999993622303
22,2,0.03939999956637621
24,23,0.04919999986886978
27,92,0.06039999954402447
29,146,0.0681999994814396
32,172,0.07700000002980233
35,199,0.09160000205039978
39,229,0.10999999940395355
43,259,0.13279999807476997
47,284,0.1566000008583069
52,318,0.17700000435113908
57,354,0.21459999680519104
63,393,0.25879999577999113
69,441,0.31639999985694883
76,469,0.35600000381469726
84,532,0.4297999978065491
92,532,0.4275999993085861
101,609,0.5339999926090241
111,654,0.6385999882221222
122,734,0.8032000064849854
135,807,1.025199978351593
148,870,1.4001999926567077
163,949,1.82400000333786
179,1028,2.282399969100952
197,1125,2.821399936676025
217,1222,3.805399947166443
238,1329,4.5486000061035154
262,1436,6.157199983596802
288,1537,7.127600002288818
317,1665,8.399000053405763
349,1787,9.836200046539307
384,1907,11.367199974060059
422,2056,13.245999908447265
465,2205,14.952599945068359
511,2340,16.783600006103516
562,2494,19.25300003051758
618,2639,22.001800079345703
680,2808,24.83900001525879
725,2915,26.6238000869751
