Data Log

TimeStamp,Voltage,Current,Temperature
2023-04-04 16:20:43.341,19306,0,26.5
2023-04-04 16:20:46.607,19307,0,26.5
2023-04-04 16:20:47.357,19306,0,26.5
2023-04-04 16:20:50.615,19307,0,26.5
2023-04-04 16:20:51.379,19306,0,26.5
2023-04-04 16:20:54.698,19306,0,26.5
2023-04-04 16:20:55.394,19306,0,26.5
2023-04-04 16:20:58.615,19306,0,26.5
2023-04-04 16:20:59.407,19307,0,26.5
2023-04-04 16:21:02.645,19307,0,26.5
2023-04-04 16:21:03.427,19307,0,26.5
2023-04-04 16:21:06.680,19306,-6,26.5
2023-04-04 16:21:07.442,19306,-6,26.5
2023-04-04 16:21:10.654,19306,0,26.5
2023-04-04 16:21:11.467,19306,-6,26.5
2023-04-04 16:21:14.695,19307,-7,26.5
2023-04-04 16:21:15.491,19306,-7,26.5
2023-04-04 16:21:18.683,19306,-7,26.5
2023-04-04 16:21:19.511,19305,-6,26.5
2023-04-04 16:21:22.753,19307,22,26.5
2023-04-04 16:21:23.526,19307,22,26.5
2023-04-04 16:21:26.759,19308,22,26.4
2023-04-04 16:21:27.537,19308,22,26.5
2023-04-04 16:21:30.726,19307,22,26.5
2023-04-04 16:21:31.546,19308,22,26.5
2023-04-04 16:21:34.769,19309,22,26.5
2023-04-04 16:21:35.562,19309,22,26.5
2023-04-04 16:21:38.794,19309,22,26.5
2023-04-04 16:21:39.575,19309,22,26.5
2023-04-04 16:21:42.755,19310,22,26.5
2023-04-04 16:21:43.594,19308,22,26.4
2023-04-04 16:21:46.760,19309,22,26.5
2023-04-04 16:21:47.598,19309,22,26.5
2023-04-04 16:21:50.757,19309,22,26.5
2023-04-04 16:21:51.616,19308,22,26.5
2023-04-04 16:21:54.793,19311,46,26.5
2023-04-04 16:21:55.638,19310,46,26.5
2023-04-04 16:21:58.816,19314,76,26.5
2023-04-04 16:21:59.652,19313,96,26.5
2023-04-04 16:22:02.833,19318,121,26.5
2023-04-04 16:22:03.672,19317,121,26.4
2023-04-04 16:22:06.828,19319,121,26.4
2023-04-04 16:22:07.685,19318,120,26.5
2023-04-04 16:22:10.858,19318,121,26.4
2023-04-04 16:22:11.704,19319,121,26.5
2023-04-04 16:22:14.814,19320,120,26.5
2023-04-04 16:22:15.716,19319,121,26.5
2023-04-04 16:22:18.942,19321,121,26.5
2023-04-04 16:22:19.718,19320,121,26.5
2023-04-04 16:22:22.812,19322,121,26.5
2023-04-04 16:22:23.728,19321,120,26.4
2023-04-04 16:22:26.820,19321,121,26.5
2023-04-04 16:22:27.741,19322,120,26.5
2023-04-04 16:22:30.885,19322,120,26.5
2023-04-04 16:22:31.761,19322,121,26.4
2023-04-04 16:22:34.858,19323,120,26.4
2023-04-04 16:22:35.778,19323,121,26.4
2023-04-04 16:22:38.806,19324,121,26.5
2023-04-04 16:22:39.790,19323,120,26.4
2023-04-04 16:22:42.855,19324,121,26.4
2023-04-04 16:22:43.811,19324,120,26.5
2023-04-04 16:22:46.820,19326,121,26.5
2023-04-04 16:22:47.818,19325,120,26.5
2023-04-04 16:22:50.869,19327,145,26.3
2023-04-04 16:22:51.843,19326,145,26.4
2023-04-04 16:22:54.925,19327,145,26.4
2023-04-04 16:22:55.866,19328,145,26.5
2023-04-04 16:22:59.036,19335,209,26.5
2023-04-04 16:22:59.879,19333,219,26.4
2023-04-04 16:23:02.914,19336,244,26.4
2023-04-04 16:23:03.903,19336,244,26.4
2023-04-04 16:23:06.895,19338,244,26.4
2023-04-04 16:23:07.931,19338,244,26.4
2023-04-04 16:23:10.990,19339,244,26.4
2023-04-04 16:23:11.940,19339,244,26.5
2023-04-04 16:23:14.942,19342,244,26.5
2023-04-04 16:23:15.963,19341,244,26.4
2023-04-04 16:23:18.914,19347,244,26.4
2023-04-04 16:23:19.979,19342,244,26.4
2023-04-04 16:23:22.946,19345,244,26.4
2023-04-04 16:23:23.990,19344,244,26.5
2023-04-04 16:23:26.930,19346,244,26.4
2023-04-04 16:23:28.010,19345,244,26.4
2023-04-04 16:23:30.976,19347,244,26.4
