Data Log

TimeStamp,Voltage,Current,Temperature
2023-04-05 10:26:43.500,20833,0,23.4
2023-04-05 10:26:48.503,20833,0,23.4
2023-04-05 10:26:54.736,20834,0,23.4
2023-04-05 10:26:58.707,20834,0,23.4
2023-04-05 10:27:03.528,20833,0,23.4
2023-04-05 10:27:08.538,20833,0,23.5
2023-04-05 10:27:14.740,20834,0,23.4
2023-04-05 10:27:18.735,20837,0,23.4
2023-04-05 10:27:23.572,20833,0,23.5
2023-04-05 10:27:28.584,20833,0,23.4
2023-04-05 10:27:34.751,20834,0,23.4
2023-04-05 10:27:38.771,20834,0,23.5
2023-04-05 10:27:43.606,20833,0,23.5
2023-04-05 10:27:48.620,20833,0,23.5
2023-04-05 10:27:54.772,20834,0,23.5
2023-04-05 10:27:58.805,20834,0,23.5
2023-04-05 10:28:03.640,20833,0,23.5
2023-04-05 10:28:08.645,20833,0,23.5
2023-04-05 10:28:14.903,20833,0,23.5
2023-04-05 10:28:18.854,20834,0,23.5
2023-04-05 10:28:23.675,20833,0,23.5
2023-04-05 10:28:28.682,20833,-3,23.5
2023-04-05 10:28:34.877,20819,-200,23.5
2023-04-05 10:28:38.889,20818,-200,23.5
2023-04-05 10:28:43.709,20816,-200,23.5
2023-04-05 10:28:48.711,20815,-200,23.5
2023-04-05 10:28:54.914,20813,-200,23.5
2023-04-05 10:28:58.927,20812,-200,23.5
2023-04-05 10:29:03.717,20811,-200,23.5
2023-04-05 10:29:08.755,20811,-200,23.5
2023-04-05 10:29:15.016,20809,-200,23.6
2023-04-05 10:29:19.001,20809,-200,23.5
2023-04-05 10:29:23.744,20808,-200,23.5
2023-04-05 10:29:28.818,20807,-200,23.5
2023-04-05 10:29:35.026,20807,-200,23.6
2023-04-05 10:29:39.017,20806,-200,23.6
2023-04-05 10:29:43.777,20804,-200,23.6
2023-04-05 10:29:48.864,20805,-200,23.6
2023-04-05 10:29:55.054,20804,-200,23.6
2023-04-05 10:29:59.106,20804,-200,23.6
2023-04-05 10:30:03.807,20802,-200,23.6
2023-04-05 10:30:08.912,20801,-200,23.6
2023-04-05 10:30:15.103,20801,-200,23.6
2023-04-05 10:30:19.113,20800,-200,23.6
2023-04-05 10:30:23.835,20799,-200,23.6
2023-04-05 10:30:28.958,20799,-200,23.6
2023-04-05 10:30:35.176,20798,-200,23.6
2023-04-05 10:30:39.180,20796,-200,23.6
2023-04-05 10:30:43.877,20796,-200,23.6
2023-04-05 10:30:49.005,20796,-200,23.7
